,0
0,0.7609287717955604
1,0.7435730585453253
2,0.7389767671656384
3,0.69304850117915
4,0.6871484347349259
5,0.6386843214415873
6,0.5553765806026845
7,0.5445922463917958
8,0.44719989819651607
9,0.3272624340937046
10,0.19456153400376253
11,0.16812953835224598
12,0.1399674274861913
13,0.1358249876892369
14,0.11998474989055319
15,0.11572367430685493
16,0.1085595960995509
17,0.10738390630216943
18,0.10591362823794759
19,0.0973199435017682
20,0.09197477526848508
21,0.08735041745261796
22,0.08619892289148012
23,0.07067374319531883
24,0.0705890747535397
25,0.06891130878849583
26,0.060655056218674175
27,0.054311048793295846
28,0.04622818786716543
29,0.04164653482549996
30,0.03406646865791729
31,0.0338196031339516
32,0.030646115497954485
33,0.030446370123877076
34,0.030006411549613365
35,0.028189318647385386
36,0.02747865453861864
37,0.027225901555353094
38,0.025509615181755207
39,0.025410683940355394
40,0.025309246586983303
41,0.02518810655445558
42,0.024953135481656008
43,0.02493742615397454
44,0.02486964937675873
45,0.024850059610326714
46,0.024764132164657116
47,0.02464421643923498
48,0.024613039818560445
49,0.0245477042826705
50,0.024423905902305698
51,0.02435705967356694
52,0.024337383318993933
53,0.024324235183086018
54,0.024281635940619495
55,0.023876217453497106
56,0.02365384943689819
57,0.023138196874005867
58,0.02236905390420829
59,0.021676350231502495
